db_taxon,db_life_stage,equation_id,preservation,preservation_percentage,correction_percentage,correction_factor_id,body_size_meas,body_size_unit,body_size_min,body_size_max,equation_form,log_base,a,b,dry_biomass_scale,dry_biomass_min,dry_biomass_max,dry_biomass_unit,RMS,n,r2,lm_correction,lm_correction_type,lm_reference,reference
Alasmidonta varicosa,none,116,NA,NA,NA,NA,shell_width,mm,13.5,67.1,model1,2.718282,-11.9654821806122,2.91,1000,NA,NA,mg,NA,40,0.98,1.02,SEE_correction,sprugel_1983,9
Anodonta implicata,none,117,NA,NA,NA,NA,shell_width,mm,12.5,121.4,model1,2.718282,-13.69329292524,3.2,1000,NA,NA,mg,NA,40,0.98,1.04,SEE_correction,sprugel_1983,9
Pyganodon grandis,none,118,NA,NA,NA,NA,shell_width,mm,83.5,136.6,model1,2.718282,-14.683011125669,3.41,1000,NA,NA,mg,NA,35,0.92,1.01,SEE_correction,sprugel_1983,9
Strophitus undulatus,none,119,NA,NA,NA,NA,shell_width,mm,24.7,79.4,model1,2.718282,-11.0061078626018,2.65,1000,NA,NA,mg,NA,35,0.97,1.01,SEE_correction,sprugel_1983,9
Lampsilini,none,120,NA,NA,NA,NA,shell_width,mm,3.5,129,model1,2.718282,-11.919391073412,2.92,1000,NA,NA,mg,NA,410,0.91,1.13,SEE_correction,sprugel_1983,9
Lampsilis ornata,none,121,NA,NA,NA,NA,shell_width,mm,34.4,107.5,model1,2.718282,-15.1137940417615,3.67,1000,NA,NA,mg,NA,40,0.95,1.04,SEE_correction,sprugel_1983,9
Lampsilis straminea,none,122,NA,NA,NA,NA,shell_width,mm,27.4,89,model1,2.718282,-14.092582451304,3.49,1000,NA,NA,mg,NA,35,0.96,1.04,SEE_correction,sprugel_1983,9
Lampsilis teres,none,123,NA,NA,NA,NA,shell_width,mm,19.8,108.6,model1,2.718282,-13.9851133423505,3.34,1000,NA,NA,mg,NA,25,0.98,1.03,SEE_correction,sprugel_1983,9
Leptodea ochracea,none,124,NA,NA,NA,NA,shell_width,mm,9,72.9,model1,2.718282,-12.9400418206104,3.15,1000,NA,NA,mg,NA,35,0.97,1.05,SEE_correction,sprugel_1983,9
Obliquaria reflexa,none,125,NA,NA,NA,NA,shell_width,mm,12,65.7,model1,2.718282,-13.2501967489142,3.33,1000,NA,NA,mg,NA,30,0.96,1.04,SEE_correction,sprugel_1983,9
Obovaria unicolor,none,126,NA,NA,NA,NA,shell_width,mm,11.8,49.3,model1,2.718282,-13.3580857109254,3.45,1000,NA,NA,mg,NA,35,0.97,1.03,SEE_correction,sprugel_1983,9
Ptychobranchus fasciolaris,none,127,NA,NA,NA,NA,shell_width,mm,49.4,97.8,model1,2.718282,-15.575771360133,3.69,1000,NA,NA,mg,NA,40,0.9,1.03,SEE_correction,sprugel_1983,9
Ptychobranchus occidentalis,none,128,NA,NA,NA,NA,shell_width,mm,67.8,104.5,model1,2.718282,-11.0555006179314,2.65,1000,NA,NA,mg,NA,40,0.78,1.02,SEE_correction,sprugel_1983,9
Villosa nebulosa,none,129,NA,NA,NA,NA,shell_width,mm,8.5,45,model1,2.718282,-11.87246164119,2.87,1000,NA,NA,mg,NA,30,0.94,1.03,SEE_correction,sprugel_1983,9
Pleurobemini,none,130,NA,NA,NA,NA,shell_width,mm,4.2,103.6,model1,2.718282,-11.8927228263298,2.87,1000,NA,NA,mg,NA,230,0.9,1.13,SEE_correction,sprugel_1983,9
Elliptio arca,none,131,NA,NA,NA,NA,shell_width,mm,8.3,89.3,model1,2.718282,-12.822258784954,2.98,1000,NA,NA,mg,NA,30,0.98,1.04,SEE_correction,sprugel_1983,9
Elliptio complanata,none,132,NA,NA,NA,NA,shell_width,mm,4.2,100,model1,2.718282,-12.4020875294561,2.93,1000,NA,NA,mg,NA,40,0.98,1.06,SEE_correction,sprugel_1983,9
Elliptio dilatata,none,133,NA,NA,NA,NA,shell_width,mm,46.5,103.6,model1,2.718282,-14.6073737114634,3.45,1000,NA,NA,mg,NA,40,0.88,1.05,SEE_correction,sprugel_1983,9
Fusconaia cerina,none,134,NA,NA,NA,NA,shell_width,mm,23.7,70,model1,2.718282,-11.676621557641,2.92,1000,NA,NA,mg,NA,40,0.97,1.02,SEE_correction,sprugel_1983,9
Pleurobema decisum,none,135,NA,NA,NA,NA,shell_width,mm,15.6,67,model1,2.718282,-10.4345158836196,2.44,1000,NA,NA,mg,NA,40,0.96,1.02,SEE_correction,sprugel_1983,9
Quadrulini,none,136,NA,NA,NA,NA,shell_width,mm,5.2,119.6,model1,2.718282,-10.1392098860572,2.54,1000,NA,NA,mg,NA,160,0.92,1.07,SEE_correction,sprugel_1983,9
Cyclonaias asperata,none,137,NA,NA,NA,NA,shell_width,mm,24.3,59.4,model1,2.718282,-11.176453228349,2.86,1000,NA,NA,mg,NA,40,0.92,1.02,SEE_correction,sprugel_1983,9
Cyclonaias pustulosa,none,138,NA,NA,NA,NA,shell_width,mm,5.2,68.8,model1,2.718282,-12.1687768607865,3.18,1000,NA,NA,mg,NA,40,0.99,1.02,SEE_correction,sprugel_1983,9
Quadrula rumphiana,none,139,NA,NA,NA,NA,shell_width,mm,33.9,77.8,model1,2.718282,-10.5574140199428,2.67,1000,NA,NA,mg,NA,40,0.89,1.02,SEE_correction,sprugel_1983,9
Tritogonia verrucosa,none,140,NA,NA,NA,NA,shell_width,mm,52.5,119.6,model1,2.718282,-12.5098840999118,2.98,1000,NA,NA,mg,NA,40,0.85,1.02,SEE_correction,sprugel_1983,9
Cypridoidea,adult,141,none,NA,NA,NA,body_length,mm,2.2,4.9,model1,10,-0.55,1.087,1,NA,NA,mg,0.003,156,0.76,,RMS_correction,bird_prairie_1985,10
Cypridoidea,adult,142,none,NA,NA,NA,body_length,mm,2.6,4.8,model1,10,-2.156,3.447,1,NA,NA,mg,0.01,753,0.82,,RMS_correction,bird_prairie_1985,10
Hyalella azteca,adult,143,none,NA,NA,NA,body_length,mm,1.2,4.5,model1,10,-1.486,2.675,1,NA,NA,mg,0.027,895,0.64,,RMS_correction,bird_prairie_1985,10
Sphaerium,none,144,none,NA,NA,NA,shell_width,mm,1.2,7.3,model1,10,-1.339,3.394,1,NA,NA,mg,0.024,334,0.92,,RMS_correction,bird_prairie_1985,10
Physa,none,145,none,NA,NA,NA,shell_height,mm,1.1,15.7,model1,10,-1.33,2.765,1,NA,NA,mg,0.024,933,0.93,,RMS_correction,bird_prairie_1985,10
Ferrissia,none,146,none,NA,NA,NA,shell_height,mm,2,8.4,model1,10,-1.242,2.198,1,NA,NA,mg,0.017,696,0.72,,RMS_correction,bird_prairie_1985,10
Thiara granifera,none,147,none,NA,NA,NA,shell_height,mm,3,26.2,model1,10,-1.205,2.712,1,NA,NA,mg,0.016,32,0.98,,RMS_correction,bird_prairie_1985,10
Pomacea,none,148,none,NA,NA,NA,shell_height,mm,1.6,13.6,model1,10,-1.205,2.445,1,NA,NA,mg,0.037,88,0.88,,RMS_correction,bird_prairie_1985,10
Helobdella,none,149,none,NA,NA,NA,body_length,mm,8.1,16.4,model1,10,-1.379,1.504,1,NA,NA,mg,0.012,8,0.78,,RMS_correction,bird_prairie_1985,10
Helobdella,none,150,none,NA,NA,NA,body_length,mm,8,32.9,model1,10,-3.332,3.058,1,NA,NA,mg,0.013,34,0.97,,RMS_correction,bird_prairie_1985,10
Helobdella,none,151,none,NA,NA,NA,body_length,mm,6.8,32.9,model1,10,-3.055,2.853,1,NA,NA,mg,0.03,39,0.92,,RMS_correction,bird_prairie_1985,10
Paraponyx,larva,152,none,NA,NA,NA,body_length,mm,5.9,14.3,model1,10,-0.91,0.256,1,NA,NA,mg,0.147,21,0.75,,RMS_correction,bird_prairie_1985,10
Aeshnidae,nymph,153,none,NA,NA,NA,body_length,mm,2.9,51,model1,10,-2.15,2.611,1,NA,NA,mg,0.024,379,0.95,,RMS_correction,bird_prairie_1985,10
Anax junius,nymph,154,none,NA,NA,NA,body_length,mm,2.9,49.5,model1,10,-2.129,2.589,1,NA,NA,mg,0.024,342,0.95,,RMS_correction,bird_prairie_1985,10
Tricanthagyna septima,nymph,155,none,NA,NA,NA,body_length,mm,10.9,38.2,model1,10,-2.898,3.089,1,NA,NA,mg,0.013,13,0.95,,RMS_correction,bird_prairie_1985,10
Coryphaeschna adnexa,nymph,156,none,NA,NA,NA,body_length,mm,7.3,29,model1,10,-2.688,3.154,1,NA,NA,mg,0.006,14,0.98,,RMS_correction,bird_prairie_1985,10
Gynacantha nervosa,nymph,157,none,NA,NA,NA,body_length,mm,12.2,51,model1,10,-2.432,2.848,1,NA,NA,mg,0.02,9,0.94,,RMS_correction,bird_prairie_1985,10
Libellulidae,nymph,158,none,NA,NA,NA,body_length,mm,3,27.1,model1,10,-2.075,2.751,1,NA,NA,mg,0.025,753,0.92,,RMS_correction,bird_prairie_1985,10
Micrathyria aequalis,nymph,159,none,NA,NA,NA,body_length,mm,3,17.8,model1,10,-2.025,2.648,1,NA,NA,mg,0.02,276,0.91,,RMS_correction,bird_prairie_1985,10
Erythrodiplax justiniana,nymph,160,none,NA,NA,NA,body_length,mm,3.7,15.4,model1,10,-1.857,2.678,1,NA,NA,mg,0.035,56,0.78,,RMS_correction,bird_prairie_1985,10
Erythrodiplax,nymph,161,none,NA,NA,NA,body_length,mm,3,17.3,model1,10,-1.994,2.679,1,NA,NA,mg,0.022,222,0.92,,RMS_correction,bird_prairie_1985,10
Tramea,nymph,162,none,NA,NA,NA,body_length,mm,5.9,27.1,model1,10,-2.317,2.973,1,NA,NA,mg,0.019,30,0.94,,RMS_correction,bird_prairie_1985,10
Coenagrionidae,nymph,163,none,NA,NA,NA,body_length,mm,3.8,18.4,model1,10,-2.59,2.778,1,NA,NA,mg,0.022,1311,0.86,,RMS_correction,bird_prairie_1985,10
Enallagma,nymph,164,none,NA,NA,NA,body_length,mm,3.8,17.1,model1,10,-2.487,2.658,1,NA,NA,mg,0.02,1075,0.83,,RMS_correction,bird_prairie_1985,10
Lestes,nymph,165,none,NA,NA,NA,body_length,mm,6.9,22.8,model1,10,-3.825,3.543,1,NA,NA,mg,0.021,159,0.92,,RMS_correction,bird_prairie_1985,10
Callibaetis,nymph,166,none,NA,NA,NA,body_length,mm,3.4,9.6,model1,10,-3.089,3.607,1,NA,NA,mg,0.019,2931,0.77,,RMS_correction,bird_prairie_1985,10
Cybister,larva,167,none,NA,NA,NA,body_length,mm,5.6,40.2,model1,10,-2.914,2.679,1,NA,NA,mg,0.041,17,0.94,,RMS_correction,bird_prairie_1985,10
Cybister,larva,168,none,NA,NA,NA,body_length,mm,14.6,39.7,model1,10,-4.569,3.813,1,NA,NA,mg,0.027,65,0.87,,RMS_correction,bird_prairie_1985,10
Laccophilus,adult,169,none,NA,NA,NA,body_length,mm,1.4,5.2,model1,10,-1.235,2.461,1,NA,NA,mg,0.011,137,0.91,,RMS_correction,bird_prairie_1985,10
Tropisternus,larva,170,none,NA,NA,NA,body_length,mm,5,14.8,model1,10,-2.643,2.989,1,NA,NA,mg,0.043,28,0.74,,RMS_correction,bird_prairie_1985,10
Haliplus,larva,171,none,NA,NA,NA,body_length,mm,7.4,11.5,model1,10,-2.259,2.364,1,NA,NA,mg,0.005,11,0.83,,RMS_correction,bird_prairie_1985,10
Helichus,adult,172,none,NA,NA,NA,body_length,mm,5,7.1,model1,10,-3.165,4.752,1,NA,NA,mg,0.02,8,0.77,,RMS_correction,bird_prairie_1985,10
Gyrinus,adult,173,none,NA,NA,NA,body_length,mm,4.6,6.3,model1,10,-2.543,4.175,1,NA,NA,mg,0.009,63,0.65,,RMS_correction,bird_prairie_1985,10
Belostomatidae,adult,174,none,NA,NA,NA,body_length,mm,5.3,72.6,model1,10,-2.027,2.82,1,NA,NA,mg,0.022,235,0.94,,RMS_correction,bird_prairie_1985,10
Belostoma,adult,175,none,NA,NA,NA,body_length,mm,5.3,32,model1,10,-2.044,2.843,1,NA,NA,mg,0.02,207,0.95,,RMS_correction,bird_prairie_1985,10
Lethocerus,adult,176,none,NA,NA,NA,body_length,mm,5.5,72.6,model1,10,-1.907,2.634,1,NA,NA,mg,0.039,28,0.92,,RMS_correction,bird_prairie_1985,10
Ranatra,adult,177,none,NA,NA,NA,body_length,mm,6.4,79.2,model1,10,-2.031,1.965,1,NA,NA,mg,0.026,55,0.96,,RMS_correction,bird_prairie_1985,10
Notonectidae,adult,178,none,NA,NA,NA,body_length,mm,1.8,10.5,model1,10,-2.084,3.243,1,NA,NA,mg,0.028,786,0.9,,RMS_correction,bird_prairie_1985,10
Buenoa,adult,179,none,NA,NA,NA,body_length,mm,1.8,9.2,model1,10,-2.087,3.237,1,NA,NA,mg,0.027,743,0.9,,RMS_correction,bird_prairie_1985,10
Notonecta,adult,180,none,NA,NA,NA,body_length,mm,3,10.5,model1,10,-1.615,2.773,1,NA,NA,mg,0.015,43,0.92,,RMS_correction,bird_prairie_1985,10
Callicorixia,adult,181,none,NA,NA,NA,body_length,mm,2.4,8.4,model1,10,-2.013,3.111,1,NA,NA,mg,0.031,55,0.93,,RMS_correction,bird_prairie_1985,10
Hydrometra,adult,182,none,NA,NA,NA,body_length,mm,10.1,18,model1,10,-3.355,3.155,1,NA,NA,mg,0.021,14,0.79,,RMS_correction,bird_prairie_1985,10
Ambrysus,adult,183,none,NA,NA,NA,body_length,mm,2.2,10,model1,10,-1.967,3.235,1,NA,NA,mg,0.025,33,0.94,,RMS_correction,bird_prairie_1985,10
Gerris,adult,184,none,NA,NA,NA,body_length,mm,2.1,9.8,model1,10,-1.49,2.253,1,NA,NA,mg,0.03,121,0.86,,RMS_correction,bird_prairie_1985,10
Stratiomyidae,larva,185,none,NA,NA,NA,body_length,mm,3,18.7,model1,10,-1.91,2.454,1,NA,NA,mg,0.025,243,0.85,,RMS_correction,bird_prairie_1985,10
Odontomiya,larva,186,none,NA,NA,NA,body_length,mm,5.2,18.7,model1,10,-2.148,2.625,1,NA,NA,mg,0.021,71,0.87,,RMS_correction,bird_prairie_1985,10
Caloparyphus,larva,187,none,NA,NA,NA,body_length,mm,4.3,8.7,model1,10,-2.441,3.111,1,NA,NA,mg,0.024,65,0.76,,RMS_correction,bird_prairie_1985,10
Aedes,larva,188,none,NA,NA,NA,body_length,mm,5.2,8.8,model1,10,-3.34,3.505,1,NA,NA,mg,0.027,67,0.603,,RMS_correction,bird_prairie_1985,10
Atalophlebia,nymph,189,formaldehyde,5,NA,NA,body_length,mm,1.25,12.75,model2,NA,0.021,2.116,1,NA,NA,mg,NA,33,0.74,,NA,NA,11
Irpacaenis,nymph,190,formaldehyde,5,NA,NA,body_length,mm,1.25,5.75,model2,NA,0.0008,3.882,1,NA,NA,mg,NA,26,0.95,,NA,NA,11
Baetidae,nymph,191,formaldehyde,5,NA,NA,body_length,mm,1.25,9.5,model2,NA,0.0128,2.075,1,NA,NA,mg,NA,104,0.69,,NA,NA,11
Offadens,nymph,192,formaldehyde,5,NA,NA,body_length,mm,1.25,9.5,model2,NA,0.0069,2.378,1,NA,NA,mg,NA,45,0.84,,NA,NA,11
Odonata,nymph,193,formaldehyde,5,NA,NA,body_length,mm,2.25,19.75,model2,NA,0.014,2.755,1,NA,NA,mg,NA,143,0.94,,NA,NA,11
Gomphidae,nymph,194,formaldehyde,5,NA,NA,body_length,mm,2.25,15.25,model2,NA,0.0025,3.474,1,NA,NA,mg,NA,28,0.95,,NA,NA,11
Austrogomphus,nymph,195,formaldehyde,5,NA,NA,body_length,mm,2.25,14.25,model2,NA,0.0002,4.604,1,NA,NA,mg,NA,10,0.99,,NA,NA,11
Hemigomphus,nymph,196,formaldehyde,5,NA,NA,body_length,mm,2.75,15.25,model2,NA,0.0032,3.37,1,NA,NA,mg,NA,18,0.96,,NA,NA,11
Procordulia,nymph,197,formaldehyde,5,NA,NA,body_length,mm,2.25,9.75,model2,NA,0.021,2.682,1,NA,NA,mg,NA,78,0.89,,NA,NA,11
Hemicordulia,nymph,198,formaldehyde,5,NA,NA,body_length,mm,2.25,9.75,model2,NA,0.021,2.682,1,NA,NA,mg,NA,78,0.89,,NA,NA,11
Libellulidae,nymph,199,formaldehyde,5,NA,NA,body_length,mm,2.75,19.75,model2,NA,0.0081,2.94,1,NA,NA,mg,NA,37,0.95,,NA,NA,11
Urothemis aliena,nymph,200,formaldehyde,5,NA,NA,body_length,mm,2.75,19.75,model2,NA,0.0062,3.033,1,NA,NA,mg,NA,28,0.95,,NA,NA,11
Hydrobasileus brevistylus,nymph,201,formaldehyde,5,NA,NA,body_length,mm,2.75,11.75,model2,NA,0.044,2.298,1,NA,NA,mg,NA,9,0.97,,NA,NA,11
Chironomidae,larva,202,formaldehyde,5,20.4,5,body_length,mm,2.25,8.75,model2,NA,0.0017,2.503,1,NA,NA,mg,NA,38,0.8,,NA,NA,11
Chironominae,larva,203,formaldehyde,5,20.4,5,body_length,mm,2.25,8.75,model2,NA,0.002,2.472,1,NA,NA,mg,NA,19,0.82,,NA,NA,11
Orthocladiinae,larva,204,formaldehyde,5,NA,NA,body_length,mm,2.25,8.25,model2,NA,0.0008,2.824,1,NA,NA,mg,NA,8,0.96,,NA,NA,11
Tanytarsus,larva,205,ethanol,70,26.8,5_11_12,body_length,mm,1.1,5,model1,2.718282,-6.9622,2.5433,1,NA,NA,mg,NA,40,0.98,,NA,NA,12
Cladotanytarsus,larva,206,ethanol,70,26.8,5_11_12,body_length,mm,0.9,5.6,model1,2.718282,-6.3641,2.1486,1,NA,NA,mg,NA,46,0.85,,NA,NA,12
Stempellina,larva,207,ethanol,70,27.8,5_11_13,body_length,mm,0.7,2.5,model1,2.718282,-6.3503,1.9174,1,NA,NA,mg,NA,19,0.95,,NA,NA,12
Chironomus,larva,208,ethanol,70,28.8,5_11_14,body_length,mm,2.5,15,model1,2.718282,-7.9959,3.0165,1,NA,NA,mg,NA,24,0.85,,NA,NA,12
Triops cancriformes,adult,209,formaldehyde,4,35.9,38_39,body_length,mm,4,35,model2,NA,0.0034,2.9678,1,NA,NA,mg,NA,170,0.98,,NA,NA,13
Hypogastrura manubrialis,adult,210,none,NA,NA,NA,body_length,mm,0.558,1.22,model1,2.718282,2.16,2.5,0.001,0.00188,0.166,mg,NA,7,0.911,1.03,smearing_factor,duan_1983,14
Neanura,adult,211,none,NA,NA,NA,body_length,mm,0.412,0.958,model1,2.718282,2.36,2.27,0.001,0.0014,0.0111,mg,NA,10,0.883,1.02,smearing_factor,duan_1983,14
Onychiurus,adult,212,none,NA,NA,NA,body_length,mm,1,5.27,model1,2.718282,0.462,1.17,0.001,0.00164,0.0142,mg,NA,17,0.94,1.01,smearing_factor,duan_1983,14
Folsomia candida,adult,213,none,NA,NA,NA,body_length,mm,0.612,2.11,model1,2.718282,1.9,2.96,0.001,0.0018,0.0509,mg,NA,9,0.96,1.03,smearing_factor,duan_1983,14
Folsomia hasegawai,adult,214,none,NA,NA,NA,body_length,mm,0.594,1.14,model1,2.718282,1.25,1.46,0.001,0.0016,0.0047,mg,NA,11,0.798,1.01,smearing_factor,duan_1983,14
Onychiurus armatus,adult,215,none,NA,NA,NA,body_length,mm,0.511,1.87,model1,2.718282,1.82,2.67,0.001,0.00114,0.0337,mg,NA,43,0.97,1.02,smearing_factor,duan_1983,15
Onychiurus furcifer,adult,216,none,NA,NA,NA,body_length,mm,0.481,1.68,model1,2.718282,1.9,2.77,0.001,0.000783,0.0404,mg,NA,68,0.969,1.02,smearing_factor,duan_1983,15
Tullbergia krausbaueri,adult,217,none,NA,NA,NA,body_length,mm,0.319,0.518,model1,2.718282,1.21,2.57,0.001,0.000188,0.000677,mg,NA,38,0.94,1,smearing_factor,duan_1983,15
Folsomia quadrioculata,adult,218,none,NA,NA,NA,body_length,mm,0.482,0.893,model1,2.718282,1.84,2.87,0.001,0.000706,0.00539,mg,NA,54,0.841,1.02,smearing_factor,duan_1983,15
Isotoma notabilis,adult,219,none,NA,NA,NA,body_length,mm,0.578,1,model1,2.718282,2.12,3.07,0.001,0.00119,0.0103,mg,NA,53,0.678,1.04,smearing_factor,duan_1983,15
Tomocerus flavescens,adult,220,none,NA,NA,NA,body_length,mm,0.543,5.13,model1,2.718282,2.22,2.75,0.001,0.00201,0.466,mg,NA,48,0.984,1.03,smearing_factor,duan_1983,15
Bosmina hagmanni,adult,221,formaldehyde,4,35.9,38_39,body_length,mm,0.257,0.438,model1,2.718282,2.33997721221111,2.61,0.001,0.000301,0.001254,mg,NA,7,0.98,,BC_correction,strimbu_2018,16
Ceriodaphnia cornuta,adult,222,formaldehyde,4,35.9,38_39,body_length,mm,0.268,0.435,model1,2.718282,1.36991088186937,2,0.001,0.000272,0.000715,mg,NA,5,0.98,,BC_correction,strimbu_2018,16
Daphnia gessneri,adult,223,formaldehyde,4,35.9,38_39,body_length,mm,0.579,1.058,model1,2.718282,0.719789111506366,3.22,0.001,0.000367,0.002488,mg,NA,6,0.99,,BC_correction,strimbu_2018,16
Diaphanosoma spinulosum,adult,224,formaldehyde,4,35.9,38_39,body_length,mm,0.411,0.767,model1,2.718282,1.1400740784757,2.22,0.001,0.000412,0.001738,mg,NA,6,0.99,,BC_correction,strimbu_2018,16
Macrothrix squamosa,adult,225,formaldehyde,4,35.9,38_39,body_length,mm,0.223,0.386,model1,2.718282,2.85001261920458,3.177,0.001,0.000191,0.000889,mg,NA,5,0.86,,BC_correction,strimbu_2018,16
Moina minuta,adult,226,formaldehyde,4,35.9,38_39,body_length,mm,0.338,0.526,model1,2.718282,0.85015092936961,2.45,0.001,0.000158,0.000504,mg,NA,5,0.97,,BC_correction,strimbu_2018,16
