db_taxon,db_life_stage,equation_id,preservation,preservation_percentage,correction_percentage,correction_factor_id,body_size_meas,body_size_unit,body_size_min,body_size_max,equation_form,log_base,a,b,dry_biomass_scale,dry_biomass_min,dry_biomass_max,dry_biomass_unit,RMS,n,r2,lm_correction,lm_correction_type,lm_reference,reference
Notodiaptomus amazonicus,adult,227,formaldehyde,4,35.9,38_39,body_length,mm,0.848,1.18,model1,2.718282,2.29000631078719,2.16,0.001,0.00692,0.01208,mg,NA,8,0.99,,BC_correction,strimbu_2018,16
Thermocyclops decipiens,adult,228,formaldehyde,4,35.9,38_39,body_length,mm,0.529,0.803,model1,2.718282,1.57007318891182,3.244,0.001,0.00061,0.00263,mg,NA,6,0.96,,BC_correction,strimbu_2018,16
Thermocyclops minutus,adult,229,formaldehyde,4,35.9,38_39,body_length,mm,0.404,0.565,model1,2.718282,1.33998860824338,2.77,0.001,0.00028,0.00081,mg,NA,5,0.89,,BC_correction,strimbu_2018,16
Calanoida ,copepodite,230,formaldehyde,4,35.9,38_39,body_length,mm,0.35,0.74,model1,2.718282,2.46996220240218,3.15,0.001,0.00043,0.00406,mg,NA,7,0.97,,BC_correction,strimbu_2018,16
Dugesia tigrina,none,231,none,NA,NA,NA,body_length,mm,2,5.2,model2,NA,0.0089,2.145,1,NA,NA,mg,NA,42,0.81,,NA,NA,17
Caecidotea racovitzai,none,232,none,none,NA,NA,body_length,mm,1.8,10.4,model2,NA,0.0036,3.111,1,NA,NA,mg,NA,29,0.86,,NA,NA,17
Lirceus lineatus,adult,233,none,none,NA,NA,body_length,mm,1.4,11,model2,NA,0.0072,2.785,1,NA,NA,mg,NA,125,0.98,,NA,NA,17
Crangonyx gracilus,adult,234,none,none,NA,NA,body_length,mm,2,9,model2,NA,0.0058,2.798,1,NA,NA,mg,NA,25,0.85,,NA,NA,17
Crangonyx richmondensis ,adult,235,none,none,NA,NA,body_length,mm,2,13,model2,NA,0.002,3.211,1,NA,NA,mg,NA,30,0.9,,NA,NA,17
Baetis,nymph,236,formaldehyde,10,NA,NA,body_length,mm,2.1,6.2,model2,NA,0.0068,2.72,1,NA,NA,mg,NA,49,0.96,,NA,NA,17
Baetis,nymph,237,none,none,NA,NA,body_length,mm,1.8,8.5,model2,NA,0.0033,3.196,1,NA,NA,mg,NA,36,0.81,,NA,NA,17
Baetis,nymph,238,none,none,NA,NA,body_length,mm,1.5,6.6,model2,NA,0.0094,2.938,1,NA,NA,mg,NA,52,0.87,,NA,NA,17
Callibaetis,nymph,239,none,none,NA,NA,body_length,mm,4.3,8.2,model2,NA,0.00081,3.547,1,NA,NA,mg,NA,21,0.8,,NA,NA,17
Heterocloeon,nymph,240,none,none,NA,NA,body_length,mm,1.9,7.5,model2,NA,0.0052,2.721,1,NA,NA,mg,NA,36,0.71,,NA,NA,17
Pseudocloeon,nymph,241,none,none,NA,NA,body_length,mm,1.6,5.4,model2,NA,0.0023,3.264,1,NA,NA,mg,NA,22,0.62,,NA,NA,17
Baetisca,nymph,242,none,none,NA,NA,body_length,mm,1.9,9.8,model2,NA,0.0116,2.905,1,NA,NA,mg,NA,51,0.78,,NA,NA,17
Caenis diminuta,nymph,243,none,none,NA,NA,body_length,mm,1.6,4.4,model2,NA,0.0058,2.712,1,NA,NA,mg,NA,25,0.94,,NA,NA,17
Caenis,nymph,244,none,none,NA,NA,body_length,mm,1.7,6.4,model2,NA,0.0054,2.842,1,NA,NA,mg,NA,35,0.85,,NA,NA,17
Caenis,nymph,245,none,none,NA,NA,body_length,mm,1.4,4.4,model2,NA,0.0033,2.924,1,NA,NA,mg,NA,18,0.9,,NA,NA,17
Drunella,nymph,246,none,none,NA,NA,body_length,mm,2.4,9.8,model2,NA,0.0257,2.252,1,NA,NA,mg,NA,28,0.62,,NA,NA,17
Ephemerella,nymph,247,none,none,NA,NA,body_length,mm,2.7,8.8,model2,NA,0.0097,2.663,1,NA,NA,mg,NA,84,0.89,,NA,NA,17
Ephemerella,nymph,248,none,none,NA,NA,body_length,mm,2.1,7.7,model2,NA,0.0128,2.444,1,NA,NA,mg,NA,46,0.81,,NA,NA,17
Eurylophella temporalis,nymph,249,none,none,NA,NA,body_length,mm,1.7,6.1,model2,NA,0.008,2.663,1,NA,NA,mg,NA,74,0.94,,NA,NA,17
Serratella,nymph,250,none,none,NA,NA,body_length,mm,2.3,8,model2,NA,0.0088,2.584,1,NA,NA,mg,NA,24,0.76,,NA,NA,17
Hexagenia munda,nymph,251,none,none,NA,NA,body_length,mm,3.3,24.6,model2,NA,0.0062,2.891,1,NA,NA,mg,NA,21,0.79,,NA,NA,17
Heptagenia,nymph,252,none,none,NA,NA,body_length,mm,1.3,9.7,model2,NA,0.018,2.326,1,NA,NA,mg,NA,90,0.72,,NA,NA,17
Heptagenia,nymph,253,none,none,NA,NA,body_length,mm,2.8,9.8,model2,NA,0.0087,2.731,1,NA,NA,mg,NA,11,0.95,,NA,NA,17
Stenacron interpunctatum,nymph,254,none,none,NA,NA,body_length,mm,1,10.9,model2,NA,0.0067,2.807,1,NA,NA,mg,NA,45,0.88,,NA,NA,17
Stenonema modestum,nymph,255,none,none,NA,NA,body_length,mm,0.8,12.1,model2,NA,0.0078,2.871,1,NA,NA,mg,NA,128,0.88,,NA,NA,17
Stenonema modestum,nymph,256,none,none,NA,NA,body_length,mm,1,10.7,model2,NA,0.0101,2.636,1,NA,NA,mg,NA,52,0.81,,NA,NA,17
Stenonema,nymph,257,none,none,NA,NA,body_length,mm,2,12.7,model2,NA,0.0128,2.616,1,NA,NA,mg,NA,59,0.84,,NA,NA,17
Isonychia,nymph,258,none,none,NA,NA,body_length,mm,2.2,13.2,model2,NA,0.0031,3.167,1,NA,NA,mg,NA,107,0.88,,NA,NA,17
Isonychia,nymph,259,none,none,NA,NA,body_length,mm,2.6,12.9,model2,NA,0.0031,2.918,1,NA,NA,mg,NA,123,0.97,,NA,NA,17
Leptophlebia,nymph,260,none,none,NA,NA,body_length,mm,1.2,8.4,model2,NA,0.0054,2.836,1,NA,NA,mg,NA,25,0.78,,NA,NA,17
Paraleptophlebia,nymph,261,none,none,NA,NA,body_length,mm,1,7.8,model2,NA,0.0061,2.624,1,NA,NA,mg,NA,55,0.88,,NA,NA,17
Tricorythodes,nymph,262,none,none,NA,NA,body_length,mm,1.7,7.1,model2,NA,0.0029,3.165,1,NA,NA,mg,NA,19,0.77,,NA,NA,17
Calopteryx,nymph,263,none,none,NA,NA,body_length,mm,2,16.1,model2,NA,0.005,2.742,1,NA,NA,mg,NA,25,0.87,,NA,NA,17
Argia,nymph,264,none,none,NA,NA,body_length,mm,4.1,15.2,model2,NA,0.0086,2.666,1,NA,NA,mg,NA,23,0.83,,NA,NA,17
Ischnura,nymph,265,none,none,NA,NA,body_length,mm,2.9,13.3,model2,NA,0.0015,2.904,1,NA,NA,mg,NA,13,0.96,,NA,NA,17
Boyeria vinosa,nymph,266,none,none,NA,NA,body_length,mm,3.3,35.4,model2,NA,0.0082,2.813,1,NA,NA,mg,NA,11,0.94,,NA,NA,17
Cordulegaster maculata,nymph,267,none,none,NA,NA,body_length,mm,3.2,38.1,model2,NA,0.0067,2.782,1,NA,NA,mg,NA,18,0.81,,NA,NA,17
Epitheca cynosura,nymph,268,none,none,NA,NA,body_length,mm,2.5,19.7,model2,NA,0.009,2.757,1,NA,NA,mg,NA,48,0.94,,NA,NA,17
Epitheca semiaquae,nymph,269,none,none,NA,NA,body_length,mm,4.2,29.3,model2,NA,0.0074,2.72,1,NA,NA,mg,NA,17,0.76,,NA,NA,17
Neurocordulia molesta,nymph,270,none,none,NA,NA,body_length,mm,3,19,model2,NA,0.0124,2.884,1,NA,NA,mg,NA,54,0.89,,NA,NA,17
Dromogomphus,nymph,271,none,none,NA,NA,body_length,mm,8.5,19,model2,NA,0.018,2.239,1,NA,NA,mg,NA,12,0.83,,NA,NA,17
Gomphus,nymph,272,none,none,NA,NA,body_length,mm,4.8,26.6,model2,NA,0.0044,3.124,1,NA,NA,mg,NA,9,0.85,,NA,NA,17
Gomphus,nymph,273,none,none,NA,NA,body_length,mm,3,37.1,model2,NA,0.006,2.847,1,NA,NA,mg,NA,24,0.9,,NA,NA,17
Progomphus obscurus,nymph,274,none,none,NA,NA,body_length,mm,3.9,23,model2,NA,0.0057,2.831,1,NA,NA,mg,NA,28,0.74,,NA,NA,17
Celithemis fasciata,nymph,275,none,none,NA,NA,body_length,mm,2.1,16.3,model2,NA,0.0058,2.877,1,NA,NA,mg,NA,44,0.95,,NA,NA,17
Erythemis simplicicollis,nymph,276,none,none,NA,NA,body_length,mm,4.2,12.5,model2,NA,0.0061,3.089,1,NA,NA,mg,NA,9,0.89,,NA,NA,17
Ladona deplanata,nymph,277,none,none,NA,NA,body_length,mm,6.5,23.8,model2,NA,0.0072,2.618,1,NA,NA,mg,NA,37,0.94,,NA,NA,17
Libellula spp,nymph,278,none,none,NA,NA,body_length,mm,6.3,16.5,model2,NA,0.0151,2.393,1,NA,NA,mg,NA,19,0.83,,NA,NA,17
Plathemis lydia,nymph,279,none,none,NA,NA,body_length,mm,7,18.9,model2,NA,0.004,3.068,1,NA,NA,mg,NA,22,0.85,,NA,NA,17
Allocapnia,nymph,280,none,none,NA,NA,body_length,mm,1.4,6.7,model2,NA,0.0047,2.761,1,NA,NA,mg,NA,29,0.79,,NA,NA,17
Allocapnia,nymph,281,none,none,NA,NA,body_length,mm,1.3,7,model2,NA,0.0057,2.439,1,NA,NA,mg,NA,25,0.92,,NA,NA,17
Allocapnia,nymph,282,formaldehyde,10,NA,NA,body_length,mm,0.7,6.9,model2,NA,0.004,2.487,1,NA,NA,mg,NA,10,0.98,,NA,NA,17
Leuctra,nymph,283,none,none,NA,NA,body_length,mm,2.2,7.2,model2,NA,0.0025,2.744,1,NA,NA,mg,NA,34,0.88,,NA,NA,17
Amphinemura,nymph,284,none,none,NA,NA,body_length,mm,1,6.9,model2,NA,0.004,2.975,1,NA,NA,mg,NA,62,0.88,,NA,NA,17
Prostoia completa,nymph,285,none,none,NA,NA,body_length,mm,0.9,6.2,model2,NA,0.0055,2.633,1,NA,NA,mg,NA,38,0.96,,NA,NA,17
Acroneuria abnormis,nymph,286,none,none,NA,NA,body_length,mm,4.2,26.1,model2,NA,0.0061,3,1,NA,NA,mg,NA,22,0.94,,NA,NA,17
Acroneuria,nymph,287,none,none,NA,NA,body_length,mm,3.4,17,model2,NA,0.0019,3.232,1,NA,NA,mg,NA,52,0.89,,NA,NA,17
Agnetina capitata,nymph,288,none,none,NA,NA,body_length,mm,3,11.2,model2,NA,0.0144,2.688,1,NA,NA,mg,NA,21,0.76,,NA,NA,17
Beloneuria georgiana,nymph,289,formaldehyde,10,NA,NA,body_length,mm,3.3,19.5,model2,NA,0.0094,2.766,1,NA,NA,mg,NA,31,0.86,,NA,NA,17
Eccoptura xanthenes,nymph,290,none,none,NA,NA,body_length,mm,5.8,20,model2,NA,0.003,3.232,1,NA,NA,mg,NA,18,0.96,,NA,NA,17
Paragnetina kansensis,nymph,291,none,none,NA,NA,body_length,mm,4,22,model2,NA,0.0093,2.797,1,NA,NA,mg,NA,63,0.82,,NA,NA,17
Perlesta placida,nymph,292,none,none,NA,NA,body_length,mm,3.7,10.2,model2,NA,0.003,3.02,1,NA,NA,mg,NA,83,0.85,,NA,NA,17
Perlesta,nymph,293,none,none,NA,NA,body_length,mm,2.5,11.5,model2,NA,0.0037,3.08,1,NA,NA,mg,NA,15,0.81,,NA,NA,17
Perlinella drymo,nymph,294,none,none,NA,NA,body_length,mm,3.3,16.9,model2,NA,0.0034,3.123,1,NA,NA,mg,NA,18,0.81,,NA,NA,17
Clioperla clio,nymph,295,none,none,NA,NA,body_length,mm,2.4,13.2,model2,NA,0.0037,2.931,1,NA,NA,mg,NA,26,0.83,,NA,NA,17
Clioperla clio,nymph,296,none,none,NA,NA,body_length,mm,2.9,14.3,model2,NA,0.0054,2.762,1,NA,NA,mg,NA,50,0.77,,NA,NA,17
Isogenus,nymph,297,none,none,NA,NA,body_length,mm,2.2,15.1,model2,NA,0.008,2.706,1,NA,NA,mg,NA,32,0.85,,NA,NA,17
Isoperla bilineata,nymph,298,none,none,NA,NA,body_length,mm,1.7,13.4,model2,NA,0.0076,2.601,1,NA,NA,mg,NA,33,0.81,,NA,NA,17
Pteronarcys dorsata,nymph,299,none,none,NA,NA,body_length,mm,8.6,34.9,model2,NA,0.0064,2.845,1,NA,NA,mg,NA,36,0.9,,NA,NA,17
Strophopteryx,nymph,300,none,none,NA,NA,body_length,mm,1.5,7.8,model2,NA,0.0043,2.79,1,NA,NA,mg,NA,26,0.71,,NA,NA,17
Taeniopteryx lita,nymph,301,none,none,NA,NA,body_length,mm,1.6,4.2,model2,NA,0.0079,2.55,1,NA,NA,mg,NA,16,0.89,,NA,NA,17
Taeniopteryx,nymph,302,none,none,NA,NA,body_length,mm,1.8,8.5,model2,NA,0.0067,2.711,1,NA,NA,mg,NA,44,0.8,,NA,NA,17
Sigara,nymph,303,none,none,NA,NA,body_length,mm,3.4,6.8,model2,NA,0.0031,2.904,1,NA,NA,mg,NA,14,0.81,,NA,NA,17
Gerris remigis,nymph,304,none,none,NA,NA,body_length,mm,9,17.5,model2,NA,0.015,2.596,1,NA,NA,mg,NA,15,0.79,,NA,NA,17
Metrobates hesperius,nymph,305,none,none,NA,NA,body_length,mm,3.2,5.5,model2,NA,0.0169,2.66,1,NA,NA,mg,NA,25,0.83,,NA,NA,17
Rhagovelia obesa,nymph,306,none,none,NA,NA,body_length,mm,2.8,4.8,model2,NA,0.0083,2.777,1,NA,NA,mg,NA,21,0.74,,NA,NA,17
Corydalus cornutus,nymph,307,none,none,NA,NA,body_length,mm,17.3,69.2,model2,NA,0.0018,3.001,1,NA,NA,mg,NA,41,0.94,,NA,NA,17
Corydalus cornutus,nymph,308,none,none,NA,NA,body_length,mm,12.4,77.1,model2,NA,0.0032,2.953,1,NA,NA,mg,NA,21,0.81,,NA,NA,17
Corydalus cornutus,nymph,309,none,none,NA,NA,body_length,mm,2.4,62,model2,NA,0.0018,2.997,1,NA,NA,mg,NA,82,0.95,,NA,NA,17
Nigronia serricornis,nymph,310,none,none,NA,NA,body_length,mm,12.2,40,model2,NA,0.0062,2.691,1,NA,NA,mg,NA,34,0.88,,NA,NA,17
Nigronia serricornis,nymph,311,none,none,NA,NA,body_length,mm,9.4,43.5,model2,NA,0.0053,2.721,1,NA,NA,mg,NA,26,0.79,,NA,NA,17
Sialis aequalis,nymph,312,none,none,NA,NA,body_length,mm,3.4,20.2,model2,NA,0.0043,2.704,1,NA,NA,mg,NA,36,0.76,,NA,NA,17
Sialis,nymph,313,none,none,NA,NA,body_length,mm,5.1,21.3,model2,NA,0.0031,2.801,1,NA,NA,mg,NA,25,0.88,,NA,NA,17
Brachycentrus etowahensis,nymph,314,formaldehyde,10,NA,NA,body_length,mm,2,13,model2,NA,0.0025,3.443,1,NA,NA,mg,NA,224,0.98,,NA,NA,17
Brachycentrus,nymph,315,none,none,NA,NA,body_length,mm,2.2,10.4,model2,NA,0.0025,2.6,1,NA,NA,mg,NA,26,0.66,,NA,NA,17
Cheumatopsyche,nymph,316,none,none,NA,NA,body_length,mm,1.4,12,model2,NA,0.0049,2.62,1,NA,NA,mg,NA,58,0.69,,NA,NA,17
Cheumatopsyche,nymph,317,none,none,NA,NA,body_length,mm,1.1,11.8,model2,NA,0.0045,2.721,1,NA,NA,mg,NA,47,0.83,,NA,NA,17
Hydropsyche elissoma,nymph,318,none,none,NA,NA,body_length,mm,2.4,10,model2,NA,0.0058,2.491,1,NA,NA,mg,NA,26,0.93,,NA,NA,17
Hydropsyche incommoda,nymph,319,none,none,NA,NA,body_length,mm,2.6,9,model2,NA,0.00053,4.179,1,NA,NA,mg,NA,43,0.9,,NA,NA,17
Hydropsyche,nymph,320,none,none,NA,NA,body_length,mm,1.6,15.1,model2,NA,0.0051,2.824,1,NA,NA,mg,NA,122,0.79,,NA,NA,17
Hydropsyche,nymph,321,none,none,NA,NA,body_length,mm,1.3,14.3,model2,NA,0.006,2.708,1,NA,NA,mg,NA,36,0.71,,NA,NA,17
Macrostemum carolina,nymph,322,none,none,NA,NA,body_length,mm,1.8,15,model2,NA,0.0026,3.117,1,NA,NA,mg,NA,16,0.88,,NA,NA,17
Macrostemum carolina,nymph,323,none,none,NA,NA,body_length,mm,4,13.5,model2,NA,0.0039,2.966,1,NA,NA,mg,NA,71,0.73,,NA,NA,17
Lepidostoma,nymph,324,none,none,NA,NA,body_length,mm,1,9.1,model2,NA,0.0079,2.649,1,NA,NA,mg,NA,33,0.78,,NA,NA,17
Oecetis,nymph,325,none,none,NA,NA,body_length,mm,1.2,8,model2,NA,0.0034,3.212,1,NA,NA,mg,NA,23,0.71,,NA,NA,17
Pycnopsyche luculenta,nymph,326,none,none,NA,NA,body_length,mm,2.8,17.9,model2,NA,0.0052,2.832,1,NA,NA,mg,NA,47,0.92,,NA,NA,17
Pycnopsyche scabripennis,nymph,327,none,none,NA,NA,body_length,mm,3.1,23.8,model2,NA,0.0049,2.85,1,NA,NA,mg,NA,27,0.87,,NA,NA,17
Psilotreta,nymph,328,none,none,NA,NA,body_length,mm,1.5,13,model2,NA,0.0082,2.735,1,NA,NA,mg,NA,18,0.76,,NA,NA,17
Chimarra,nymph,329,none,none,NA,NA,body_length,mm,1.6,10.2,model2,NA,0.0049,2.48,1,NA,NA,mg,NA,34,0.78,,NA,NA,17
Chimarra,nymph,330,none,none,NA,NA,body_length,mm,1.8,9.4,model2,NA,0.005,2.401,1,NA,NA,mg,NA,29,0.64,,NA,NA,17
Chimarra,nymph,331,formaldehyde,10,NA,NA,body_length,mm,0.8,11.2,model2,NA,0.0044,2.652,1,NA,NA,mg,NA,27,0.97,,NA,NA,17
Neureclipsis,nymph,332,none,none,NA,NA,body_length,mm,6,11.5,model2,NA,0.0023,2.879,1,NA,NA,mg,NA,23,0.61,,NA,NA,17
Polycentropus,nymph,333,none,none,NA,NA,body_length,mm,3.1,14.2,model2,NA,0.0071,2.531,1,NA,NA,mg,NA,25,0.62,,NA,NA,17
Lype diversa,nymph,334,none,none,NA,NA,body_length,mm,3.3,14.1,model2,NA,0.0039,2.873,1,NA,NA,mg,NA,28,0.85,,NA,NA,17
Rhyacophila,nymph,335,none,none,NA,NA,body_length,mm,3.3,16.6,model2,NA,0.0099,2.48,1,NA,NA,mg,NA,32,0.77,,NA,NA,17
Agarodes libalis,nymph,336,none,none,NA,NA,body_length,mm,3,15,model2,NA,0.0074,2.741,1,NA,NA,mg,NA,41,0.83,,NA,NA,17
Galerucella nymphaeae,nymph,337,formaldehyde,10,NA,NA,body_length,mm,0.9,4.1,model2,NA,0.0392,3.111,1,NA,NA,mg,NA,18,0.96,,NA,NA,17
Hydroporus,nymph,338,none,none,NA,NA,body_length,mm,3.1,6.5,model2,NA,0.0618,2.502,1,NA,NA,mg,NA,42,0.71,,NA,NA,17
Ancyronyx variegata,nymph,339,none,none,NA,NA,body_length,mm,1.5,4,model2,NA,0.0034,3.091,1,NA,NA,mg,NA,37,0.88,,NA,NA,17
Macronychus glabratus,nymph,340,none,none,NA,NA,body_length,mm,1.6,3.7,model2,NA,0.0181,2.311,1,NA,NA,mg,NA,38,0.71,,NA,NA,17
Macronychus glabratus,nymph,341,none,none,NA,NA,body_length,mm,1.4,3.9,model2,NA,0.0052,2.903,1,NA,NA,mg,NA,54,0.79,,NA,NA,17
Promoresia,nymph,342,formaldehyde,10,NA,NA,body_length,mm,1.2,3.9,model2,NA,0.0025,3.521,1,NA,NA,mg,NA,19,0.9,,NA,NA,17
Stenelmis,nymph,343,none,none,NA,NA,body_length,mm,1.8,3.5,model2,NA,0.0111,2.49,1,NA,NA,mg,NA,46,0.83,,NA,NA,17
Dineutes,nymph,344,none,none,NA,NA,body_length,mm,11,17.2,model2,NA,0.0531,2.586,1,NA,NA,mg,NA,41,0.67,,NA,NA,17
Peltodytes sexmaculatus,nymph,345,none,none,NA,NA,body_length,mm,4.4,6,model2,NA,0.0271,2.744,1,NA,NA,mg,NA,17,0.76,,NA,NA,17
Ceratopogonidae,larva,346,none,none,NA,NA,body_length,mm,2.2,10.8,model2,NA,0.00022,2.871,1,NA,NA,mg,NA,15,0.91,,NA,NA,17
Palpomyia,larva,347,none,none,NA,NA,body_length,mm,1.4,7,model2,NA,0.0039,2.144,1,NA,NA,mg,NA,33,0.71,,NA,NA,17
Chironominae,larva,348,none,none,NA,NA,body_length,mm,1.7,10.8,model2,NA,0.0059,2.099,1,NA,NA,mg,NA,50,0.88,,NA,NA,17
Chironomini,larva,349,none,none,NA,NA,body_length,mm,1,6.7,model2,NA,0.0007,2.952,1,NA,NA,mg,NA,51,0.93,,NA,NA,17
Chironomus,larva,350,none,none,NA,NA,body_length,mm,2,13.7,model2,NA,0.00068,2.62,1,NA,NA,mg,NA,26,0.96,,NA,NA,17
Cladopelma,larva,351,none,none,NA,NA,body_length,mm,1,4.6,model2,NA,0.001,2.606,1,NA,NA,mg,NA,15,0.94,,NA,NA,17
Dicrotendipes,larva,352,none,none,NA,NA,body_length,mm,2.6,6.7,model2,NA,0.00059,3.142,1,NA,NA,mg,NA,17,0.87,,NA,NA,17
Polypedilum,larva,353,none,none,NA,NA,body_length,mm,1.3,5.7,model2,NA,0.001,2.761,1,NA,NA,mg,NA,18,0.98,,NA,NA,17
Tanytarsini,larva,354,none,none,NA,NA,body_length,mm,1.3,5.3,model2,NA,0.0008,2.728,1,NA,NA,mg,NA,45,0.67,,NA,NA,17
Tanytarsus,larva,355,none,none,NA,NA,body_length,mm,1.6,5.8,model2,NA,0.0012,2.294,1,NA,NA,mg,NA,14,0.81,,NA,NA,17
Orthocladiinae,larva,356,none,none,NA,NA,body_length,mm,1.6,5,model2,NA,0.002,2.254,1,NA,NA,mg,NA,39,0.74,,NA,NA,17
Tanypodinae,larva,357,none,none,NA,NA,body_length,mm,2.3,8.2,model2,NA,0.0026,2.503,1,NA,NA,mg,NA,46,0.81,,NA,NA,17
Tanypodinae,larva,358,none,none,NA,NA,body_length,mm,2,9,model2,NA,0.0038,2.411,1,NA,NA,mg,NA,12,0.85,,NA,NA,17
Ablabesmyia,larva,359,none,none,NA,NA,body_length,mm,0.8,7.5,model2,NA,0.001,2.884,1,NA,NA,mg,NA,20,0.94,,NA,NA,17
Procladius,larva,360,none,none,NA,NA,body_length,mm,1,9.8,model2,NA,0.00077,2.693,1,NA,NA,mg,NA,32,0.91,,NA,NA,17
Sciaridae,larva,361,formaldehyde,10,NA,NA,body_length,mm,1.5,7.4,model2,NA,0.004,2.091,1,NA,NA,mg,NA,7,0.94,,NA,NA,17
Simuliidae,larva,362,none,none,NA,NA,body_length,mm,1.6,7.7,model2,NA,0.0048,2.55,1,NA,NA,mg,NA,26,0.72,,NA,NA,17
Chrysops,larva,363,none,none,NA,NA,body_length,mm,1.9,16.4,model2,NA,0.005,2.591,1,NA,NA,mg,NA,20,0.81,,NA,NA,17
Tabanus,larva,364,none,none,NA,NA,body_length,mm,1.9,16.4,model2,NA,0.005,2.591,1,NA,NA,mg,NA,20,0.81,,NA,NA,17
Tipula abdominalis,larva,365,none,none,NA,NA,body_length,mm,4,31.1,model2,NA,0.0015,2.81,1,NA,NA,mg,NA,27,0.88,,NA,NA,17
Tipula abdominalis,larva,366,none,none,NA,NA,body_length,mm,4.3,38.1,model2,NA,0.0054,2.463,1,NA,NA,mg,NA,36,0.92,,NA,NA,17