database,id,accuracy,lat_dd,lon_dd,habitat_id,realm,major_habitat_type,ecoregion
equation,1,exact,-40.46778,175.6025,,,,
equation,2,exact,-40.46778,175.6025,,,,
equation,3,exact,-40.46778,175.6025,,,,
equation,4,exact,-40.46778,175.6025,,,,
equation,5,exact,-40.46778,175.6025,,,,
equation,6,exact,-40.46778,175.6025,,,,
equation,7,exact,-40.46778,175.6025,,,,
equation,8,exact,-40.46778,175.6025,,,,
equation,9,exact,-40.46778,175.6025,,,,
equation,10,exact,-40.46778,175.6025,,,,
equation,11,exact,-40.46778,175.6025,,,,
equation,12,exact,-40.46778,175.6025,,,,
equation,13,exact,-40.46778,175.6025,,,,
equation,14,exact,-40.46778,175.6025,,,,
equation,15,exact,-40.46778,175.6025,,,,
equation,16,approximate,60.548241,31.580881,,,,
equation,17,approximate,60.548241,31.580881,,,,
equation,18,approximate,60.548241,31.580881,,,,
equation,19,approximate,60.548241,31.580881,,,,
equation,20,approximate,60.548241,31.580881,,,,
equation,21,approximate,60.548241,31.580881,,,,
equation,22,approximate,60.548241,31.580881,,,,
equation,23,approximate,60.548241,31.580881,,,,
equation,24,approximate,60.548241,31.580881,,,,
equation,25,approximate,60.548241,31.580881,,,,
equation,26,approximate,60.548241,31.580881,,,,
equation,27,approximate,-46.15,-71.96667,,,,
equation,28,approximate,-46.15,-71.96667,,,,
equation,29,approximate,-46.15,-71.96667,,,,
equation,30,approximate,-46.15,-71.96667,,,,
equation,31,approximate,-46.15,-71.96667,,,,
equation,32,approximate,-46.15,-71.96667,,,,
equation,33,approximate,-46.15,-71.96667,,,,
equation,34,approximate,-46.15,-71.96667,,,,
equation,35,approximate,-46.15,-71.96667,,,,
equation,36,approximate,-46.15,-71.96667,,,,
equation,37,approximate,-46.15,-71.96667,,,,
equation,38,approximate,-46.15,-71.96667,,,,
equation,39,approximate,-46.15,-71.96667,,,,
equation,40,approximate,-46.15,-71.96667,,,,
equation,41,approximate,-46.15,-71.96667,,,,
equation,42,approximate,-46.15,-71.96667,,,,
equation,43,approximate,-46.15,-71.96667,,,,
equation,44,approximate,-46.15,-71.96667,,,,
equation,45,approximate,-46.15,-71.96667,,,,
equation,46,approximate,-46.15,-71.96667,,,,
equation,47,approximate,-46.15,-71.96667,,,,
equation,48,approximate,-46.15,-71.96667,,,,
equation,49,approximate,-46.15,-71.96667,,,,
equation,50,approximate,-46.15,-71.96667,,,,
equation,51,approximate,-46.15,-71.96667,,,,
equation,52,approximate,-46.15,-71.96667,,,,
equation,53,approximate,-46.15,-71.96667,,,,
equation,54,approximate,-46.15,-71.96667,,,,
equation,55,approximate,-46.15,-71.96667,,,,
equation,56,approximate,47.756719,9.145791,,,,
equation,57,approximate,47.756719,9.145791,,,,
equation,58,approximate,47.756719,9.145791,,,,
equation,59,approximate,47.756719,9.145791,,,,
equation,60,approximate,47.756719,9.145791,,,,
equation,61,approximate,47.756719,9.145791,,,,
equation,62,approximate,47.756719,9.145791,,,,
equation,63,approximate,47.756719,9.145791,,,,
equation,64,approximate,47.756719,9.145791,,,,
equation,65,approximate,47.756719,9.145791,,,,
equation,66,approximate,47.756719,9.145791,,,,
equation,67,approximate,47.756719,9.145791,,,,
equation,68,approximate,47.756719,9.145791,,,,
equation,69,approximate,-45.37959,167.702273,,,,
equation,70,approximate,-45.37959,167.702273,,,,
equation,71,approximate,-45.37959,167.702273,,,,
equation,72,approximate,-45.37959,167.702273,,,,
equation,73,approximate,-45.37959,167.702273,,,,
equation,74,approximate,-45.37959,167.702273,,,,
equation,75,approximate,-45.37959,167.702273,,,,
equation,76,approximate,-45.37959,167.702273,,,,
equation,77,approximate,-45.37959,167.702273,,,,
equation,78,approximate,-45.37959,167.702273,,,,
equation,79,approximate,-45.37959,167.702273,,,,
equation,80,approximate,-45.37959,167.702273,,,,
equation,81,approximate,-45.37959,167.702273,,,,
equation,82,approximate,-45.37959,167.702273,,,,
equation,83,approximate,-45.37959,167.702273,,,,
equation,84,approximate,-45.37959,167.702273,,,,
equation,85,approximate,42.71667,141.6,,,,
equation,86,approximate,35.43333,137.4167,,,,
equation,87,approximate,34.38333,136.0167,,,,
equation,88,approximate,35.43333,137.4167,,,,
equation,89,approximate,35.43333,137.4167,,,,
equation,90,approximate,35.43333,137.4167,,,,
equation,91,approximate,42.71667,141.6,,,,
equation,92,approximate,33.801326,-106.871161,,,,
equation,93,approximate,33.801326,-106.871161,,,,
equation,94,approximate,33.801326,-106.871161,,,,
equation,95,approximate,46.16667,-72.83333,,,,
equation,96,approximate,46.16667,-72.83333,,,,
equation,97,approximate,46.16667,-72.83333,,,,
equation,98,approximate,46.16667,-72.83333,,,,
equation,99,approximate,46.16667,-72.83333,,,,
equation,100,approximate,46.16667,-72.83333,,,,
equation,101,approximate,46.16667,-72.83333,,,,
equation,102,approximate,46.16667,-72.83333,,,,
equation,103,approximate,46.16667,-72.83333,,,,
equation,104,approximate,46.16667,-72.83333,,,,
equation,105,approximate,46.16667,-72.83333,,,,
equation,106,approximate,46.16667,-72.83333,,,,
equation,107,approximate,46.16667,-72.83333,,,,
equation,108,approximate,46.16667,-72.83333,,,,
equation,109,approximate,46.16667,-72.83333,,,,
equation,110,approximate,46.16667,-72.83333,,,,
equation,111,approximate,46.16667,-72.83333,,,,
equation,112,approximate,46.16667,-72.83333,,,,
equation,113,NA,NA,NA,,,,
equation,114,NA,NA,NA,,,,
equation,115,NA,NA,NA,,,,
equation,116,NA,NA,NA,,,,
equation,117,NA,NA,NA,,,,
equation,118,NA,NA,NA,,,,
equation,119,NA,NA,NA,,,,
equation,120,NA,NA,NA,,,,
equation,121,NA,NA,NA,,,,
equation,122,NA,NA,NA,,,,
equation,123,NA,NA,NA,,,,
equation,124,NA,NA,NA,,,,
equation,125,NA,NA,NA,,,,
equation,126,NA,NA,NA,,,,
equation,127,NA,NA,NA,,,,
equation,128,NA,NA,NA,,,,
equation,129,NA,NA,NA,,,,
equation,130,NA,NA,NA,,,,
equation,131,NA,NA,NA,,,,
equation,132,NA,NA,NA,,,,
equation,133,NA,NA,NA,,,,
equation,134,NA,NA,NA,,,,
equation,135,NA,NA,NA,,,,
equation,136,NA,NA,NA,,,,
equation,137,NA,NA,NA,,,,
equation,138,NA,NA,NA,,,,
equation,139,NA,NA,NA,,,,
equation,140,NA,NA,NA,,,,
equation,141,approximate,18.21667,-77.45,,,,
equation,142,approximate,18.21667,-77.45,,,,
equation,143,approximate,18.21667,-77.45,,,,
equation,144,approximate,18.21667,-77.45,,,,
equation,145,approximate,18.21667,-77.45,,,,
equation,146,approximate,18.21667,-77.45,,,,
equation,147,approximate,18.21667,-77.45,,,,
equation,148,approximate,18.21667,-77.45,,,,
equation,149,approximate,18.21667,-77.45,,,,
equation,150,approximate,18.21667,-77.45,,,,
equation,151,approximate,18.21667,-77.45,,,,
equation,152,approximate,18.21667,-77.45,,,,
equation,153,approximate,18.21667,-77.45,,,,
equation,154,approximate,18.21667,-77.45,,,,
equation,155,approximate,18.21667,-77.45,,,,
equation,156,approximate,18.21667,-77.45,,,,
equation,157,approximate,18.21667,-77.45,,,,
equation,158,approximate,18.21667,-77.45,,,,
equation,159,approximate,18.21667,-77.45,,,,
equation,160,approximate,18.21667,-77.45,,,,
equation,161,approximate,18.21667,-77.45,,,,
equation,162,approximate,18.21667,-77.45,,,,
equation,163,approximate,18.21667,-77.45,,,,
equation,164,approximate,18.21667,-77.45,,,,
equation,165,approximate,18.21667,-77.45,,,,
equation,166,approximate,18.21667,-77.45,,,,
equation,167,approximate,18.21667,-77.45,,,,
equation,168,approximate,18.21667,-77.45,,,,
equation,169,approximate,18.21667,-77.45,,,,
equation,170,approximate,18.21667,-77.45,,,,
equation,171,approximate,18.21667,-77.45,,,,
equation,172,approximate,18.21667,-77.45,,,,
equation,173,approximate,18.21667,-77.45,,,,
equation,174,approximate,18.21667,-77.45,,,,
equation,175,approximate,18.21667,-77.45,,,,
equation,176,approximate,18.21667,-77.45,,,,
equation,177,approximate,18.21667,-77.45,,,,
equation,178,approximate,18.21667,-77.45,,,,
equation,179,approximate,18.21667,-77.45,,,,
equation,180,approximate,18.21667,-77.45,,,,
equation,181,approximate,18.21667,-77.45,,,,
equation,182,approximate,18.21667,-77.45,,,,
equation,183,approximate,18.21667,-77.45,,,,
equation,184,approximate,18.21667,-77.45,,,,
equation,185,approximate,18.21667,-77.45,,,,
equation,186,approximate,18.21667,-77.45,,,,
equation,187,approximate,18.21667,-77.45,,,,
equation,188,approximate,18.21667,-77.45,,,,
equation,189,exact,-27.89507,153.1828,,,,
equation,190,exact,-27.89507,153.1828,,,,
equation,191,exact,-27.89507,153.1828,,,,
equation,192,exact,-27.89507,153.1828,,,,
equation,193,exact,-15.47475,141.825,,,,
equation,194,exact,-15.47475,141.825,,,,
equation,195,exact,-15.47475,141.825,,,,
equation,196,exact,-15.47475,141.825,,,,
equation,197,exact,-15.47475,141.825,,,,
equation,198,exact,-15.47475,141.825,,,,
equation,199,exact,-15.47475,141.825,,,,
equation,200,exact,-15.47475,141.825,,,,
equation,201,exact,-15.47475,141.825,,,,
equation,202,exact,-27.89507,153.1828,,,,
equation,203,exact,-27.89507,153.1828,,,,
equation,204,exact,-27.89507,153.1828,,,,
equation,205,exact,35.43333,-80.93333,,,,
equation,206,exact,35.43333,-80.93333,,,,
equation,207,exact,35.43333,-80.93333,,,,
equation,208,exact,35.43333,-80.93333,,,,
equation,209,exact,42.15167,2.766944,,,,
equation,210,approximate,32.805776,131.351286,,,,
equation,211,approximate,32.805776,131.351286,,,,
equation,212,approximate,32.805776,131.351286,,,,
equation,213,approximate,32.805776,131.351286,,,,
equation,214,approximate,32.805776,131.351286,,,,
equation,215,approximate,56.284727,10.495418,,,,
equation,216,approximate,56.284727,10.495418,,,,
equation,217,approximate,56.284727,10.495418,,,,
equation,218,approximate,56.284727,10.495418,,,,
equation,219,approximate,56.284727,10.495418,,,,
equation,220,approximate,56.284727,10.495418,,,,
equation,221,exact,-22.75,-53.266,,,,
equation,222,exact,-22.75,-53.266,,,,
equation,223,exact,-22.75,-53.266,,,,
equation,224,exact,-22.75,-53.266,,,,
equation,225,exact,-22.75,-53.266,,,,
equation,226,exact,-22.75,-53.266,,,,
equation,227,exact,-22.75,-53.266,,,,
equation,228,exact,-22.75,-53.266,,,,
equation,229,exact,-22.75,-53.266,,,,
equation,230,exact,-22.75,-53.266,,,,
equation,231,approximate,44.0772,-72.7873,,,,
equation,232,approximate,44.0772,-72.7873,,,,
equation,233,approximate,32.8017,-83.6974,,,,
equation,234,approximate,44.0772,-72.7873,,,,
equation,235,approximate,44.0772,-72.7873,,,,
equation,236,approximate,32.8017,-83.6974,,,,
equation,237,approximate,35.6301,-79.8431,,,,
equation,238,approximate,44.0772,-72.7873,,,,
equation,239,approximate,32.7794,-86.8287,,,,
equation,240,approximate,44.0772,-72.7873,,,,
equation,241,approximate,44.0772,-72.7873,,,,
equation,242,approximate,32.8017,-83.6974,,,,
equation,243,approximate,32.7794,-86.8287,,,,
equation,244,approximate,44.0772,-72.7873,,,,
equation,245,approximate,33.8361,-80.9058,,,,
equation,246,approximate,44.0772,-72.7873,,,,
equation,247,approximate,32.8017,-83.6974,,,,
equation,248,approximate,44.0772,-72.7873,,,,
equation,249,approximate,44.0772,-72.7873,,,,
equation,250,approximate,44.0772,-72.7873,,,,
equation,251,approximate,35.6301,-79.8431,,,,
equation,252,approximate,35.6301,-79.8431,,,,
equation,253,approximate,32.8017,-83.6974,,,,
equation,254,approximate,35.6301,-79.8431,,,,
equation,255,approximate,35.6301,-79.8431,,,,
equation,256,approximate,44.0772,-72.7873,,,,
equation,257,approximate,32.8017,-83.6974,,,,
equation,258,approximate,35.6301,-79.8431,,,,
equation,259,approximate,32.8017,-83.6974,,,,
equation,260,approximate,44.0772,-72.7873,,,,
equation,261,approximate,44.0772,-72.7873,,,,
equation,262,approximate,44.0772,-72.7873,,,,
equation,263,approximate,44.0772,-72.7873,,,,
equation,264,approximate,35.6301,-79.8431,,,,
equation,265,approximate,33.8361,-80.9058,,,,
equation,266,approximate,35.6301,-79.8431,,,,
equation,267,approximate,44.0772,-72.7873,,,,
equation,268,approximate,33.8361,-80.9058,,,,
equation,269,approximate,44.0772,-72.7873,,,,
equation,270,approximate,32.8017,-83.6974,,,,
equation,271,approximate,33.8361,-80.9058,,,,
equation,272,approximate,35.6301,-79.8431,,,,
equation,273,approximate,44.0772,-72.7873,,,,
equation,274,approximate,44.0772,-72.7873,,,,
equation,275,approximate,33.8361,-80.9058,,,,
equation,276,approximate,33.8361,-80.9058,,,,
equation,277,approximate,33.8361,-80.9058,,,,
equation,278,approximate,33.8361,-80.9058,,,,
equation,279,approximate,33.8361,-80.9058,,,,
equation,280,approximate,35.6301,-79.8431,,,,
equation,281,approximate,44.0772,-72.7873,,,,
equation,282,approximate,35.6301,-79.8431,,,,
equation,283,approximate,44.0772,-72.7873,,,,
equation,284,approximate,44.0772,-72.7873,,,,
equation,285,approximate,44.0772,-72.7873,,,,
equation,286,approximate,35.6301,-79.8431,,,,
equation,287,approximate,32.8017,-83.6974,,,,
equation,288,approximate,44.0772,-72.7873,,,,
equation,289,approximate,44.0772,-72.7873,,,,
equation,290,approximate,35.6301,-79.8431,,,,
equation,291,approximate,32.8017,-83.6974,,,,
equation,292,approximate,32.8017,-83.6974,,,,
equation,293,approximate,35.6301,-79.8431,,,,
equation,294,approximate,44.0772,-72.7873,,,,
equation,295,approximate,35.6301,-79.8431,,,,
equation,296,approximate,44.0772,-72.7873,,,,
equation,297,approximate,35.6301,-79.8431,,,,
equation,298,approximate,44.0772,-72.7873,,,,
equation,299,approximate,32.8017,-83.6974,,,,
equation,300,approximate,44.0772,-72.7873,,,,
equation,301,approximate,32.8017,-83.6974,,,,
equation,302,approximate,35.6301,-79.8431,,,,
equation,303,approximate,35.6301,-79.8431,,,,
equation,304,approximate,35.6301,-79.8431,,,,
equation,305,approximate,35.6301,-79.8431,,,,
equation,306,approximate,35.6301,-79.8431,,,,
equation,307,approximate,35.6301,-79.8431,,,,
equation,308,approximate,44.0772,-72.7873,,,,
equation,309,approximate,32.8017,-83.6974,,,,
equation,310,approximate,35.6301,-79.8431,,,,
equation,311,approximate,44.0772,-72.7873,,,,
equation,312,approximate,44.0772,-72.7873,,,,
equation,313,approximate,35.6301,-79.8431,,,,
equation,314,approximate,32.8017,-83.6974,,,,
equation,315,approximate,44.0772,-72.7873,,,,
equation,316,approximate,35.6301,-79.8431,,,,
equation,317,approximate,44.0772,-72.7873,,,,
equation,318,approximate,32.8017,-83.6974,,,,
equation,319,approximate,32.8017,-83.6974,,,,
equation,320,approximate,35.6301,-79.8431,,,,
equation,321,approximate,44.0772,-72.7873,,,,
equation,322,approximate,35.6301,-79.8431,,,,
equation,323,approximate,32.8017,-83.6974,,,,
equation,324,approximate,44.0772,-72.7873,,,,
equation,325,approximate,44.0772,-72.7873,,,,
equation,326,approximate,44.0772,-72.7873,,,,
equation,327,approximate,44.0772,-72.7873,,,,
equation,328,approximate,44.0772,-72.7873,,,,
equation,329,approximate,35.6301,-79.8431,,,,
equation,330,approximate,44.0772,-72.7873,,,,
equation,331,approximate,32.7794,-86.8287,,,,
equation,332,approximate,32.8017,-83.6974,,,,
equation,333,approximate,44.0772,-72.7873,,,,
equation,334,approximate,44.0772,-72.7873,,,,
equation,335,approximate,44.0772,-72.7873,,,,
equation,336,approximate,44.0772,-72.7873,,,,
equation,337,approximate,32.8017,-83.6974,,,,
equation,338,approximate,35.6301,-79.8431,,,,
equation,339,approximate,44.0772,-72.7873,,,,
equation,340,approximate,35.6301,-79.8431,,,,
equation,341,approximate,44.0772,-72.7873,,,,
equation,342,approximate,32.7794,-86.8287,,,,
equation,343,approximate,35.6301,-79.8431,,,,
equation,344,approximate,35.6301,-79.8431,,,,
equation,345,approximate,35.6301,-79.8431,,,,
equation,346,approximate,32.7794,-86.8287,,,,
equation,347,approximate,44.0772,-72.7873,,,,
equation,348,approximate,44.0772,-72.7873,,,,
equation,349,approximate,32.7794,-86.8287,,,,
equation,350,approximate,32.7794,-86.8287,,,,
equation,351,approximate,32.7794,-86.8287,,,,
equation,352,approximate,32.7794,-86.8287,,,,
equation,353,approximate,32.7794,-86.8287,,,,
equation,354,approximate,44.0772,-72.7873,,,,
equation,355,approximate,32.7794,-86.8287,,,,
equation,356,approximate,44.0772,-72.7873,,,,
equation,357,approximate,44.0772,-72.7873,,,,
equation,358,approximate,35.6301,-79.8431,,,,
equation,359,approximate,32.7794,-86.8287,,,,
equation,360,approximate,32.7794,-86.8287,,,,
equation,361,approximate,35.6301,-79.8431,,,,
equation,362,approximate,35.6301,-79.8431,,,,
equation,363,approximate,44.0772,-72.7873,,,,
equation,364,approximate,44.0772,-72.7873,,,,
equation,365,approximate,44.0772,-72.7873,,,,
equation,366,approximate,35.6301,-79.8431,,,,